id;registro;nif;denominacion;ambito;seccion;actividades;fecha_constitucion;direccion_nombre_via;direccion_provincia_nombre;direccion_isla_nombre;direccion_municipio_nombre;direccion_codigo_postal;teléfono;dominio_internet;email
9;G1/S1/9-65/GO;_U;"SOCIEDAD RECREATIVA ""CENTRO LA UNION""";MUNICIPAL;Sección 1 - Asociaciones;SOCIO-CULTURALES;28/11/1965;AVDA GUILLERMO ASCANIO S/N;Santa Cruz de Tenerife;LA GOMERA;VALLEHERMOSO;38840;922800777;_U;_U
10;G1/S1/10-65/TF;G38044152;ASOCIACION AFILARMONICA NI-FU NI-FA;AUTONÓMICO;Sección 1 - Asociaciones;SOCIO-CULTURALES;18/03/1962;ANTONIO DOMINGUEZ ALFONSO (antes calle La Noria), 13;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38003;"609098566; 636464019";_U;"afilarmonica.nifunifa@gmail.com; mariorodri0@gmail.com"
11;G1/S1/11-65/TF;G38025805;CENTRO CULTURAL Y RECREO;MUNICIPAL;Sección 1 - Asociaciones;SOCIO-CULTURALES;06/07/1965;PLAZA JOSE ANTONIO, 32;Santa Cruz de Tenerife;TENERIFE;ARAFO;_U;_U;_U;_U
16;G1/S1/16-65/TF;G38217055;ASOCIACIÓN SOCIEDAD MUSICAL FILARMÓNICA DE LOS REALEJOS;AUTONÓMICO;Sección 1 - Asociaciones;SOCIO-CULTURALES;21/12/1965;C/LA ALHÓNDIGA Nº 27;Santa Cruz de Tenerife;TENERIFE;LOS REALEJOS;38410;646854927;_U;info@filarmonicarealejos.com
18;G1/S1/18-65/TF;G38042131;SOCIEDAD CULTURAL ORFEÓN LA PAZ;MUNICIPAL;Sección 1 - Asociaciones;SOCIO-CULTURALES;02/02/1918;JUAN DE VERA, Nº 3;Santa Cruz de Tenerife;TENERIFE;SAN CRISTÓBAL DE LA LAGUNA;38201;"922259652; 687649148";_U;secretaria@orfeonlapaz.com
28;G2/S1/1-65/P;_U;SOCIEDAD ATLANTIDA (INSTRUCCION Y RECREO);AUTONÓMICO;Sección 1 - Asoc. Nacionales/Extranjeras;SOCIO-CULTURALES;_U;C/ATLÁNTIDA Nº 3;Santa Cruz de Tenerife;LA PALMA;BREÑA ALTA;38710;922437177;_U;_U
29;G1/S1/28-65/TF;G38213161;ASOCIACIÓN CENTRO GALLEGO DE SANTA CRUZ DE TENERIFE;INSULAR;Sección 1 - Asociaciones;CASAS REGIONALES;18/12/1965;CALLE DE LOS SUEÑOS, 27;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38006;"922274742; 680287060";TFNOS. DE LA JUNTA DIRECTIVA: PTE:  687 842 122 Y VICEPTA. 680 287 060;centrogalegotenerife@gmail.com
32;G1/S1/31-66/TF;_U;CASINO DE LA CRUZ SANTA;MUNICIPAL;Sección 1 - Asociaciones;SOCIO-CULTURALES;16/10/1949;LA CRUZ SANTA (c/REAL Nº 70);Santa Cruz de Tenerife;TENERIFE;LOS REALEJOS;_U;_U;_U;_U
39;G1/S1/38-66/TF;G38025946;"AGRUPACION ARTÍSTICO MUSICAL ""LA CANDELARIA""";PROVINCIAL;Sección 1 - Asociaciones;MUSICALES;22/05/1926;C/ Amilcar González Díaz nº 52;Santa Cruz de Tenerife;TENERIFE;ARAFO;38550;686044501, 616922136;_U;agrupacionlacandelaria@gmail.com, moisesevora@gmail.com
56;G1/S1/55-66/TF;G38063228;SOCIEDAD RECREATIVA Y CULTURAL CASINO DE GUIMAR;AUTONÓMICO;Sección 1 - Asociaciones;SOCIO-CULTURALES;11/12/1965;PLAZA SAN PEDRO, 18;Santa Cruz de Tenerife;TENERIFE;GÜÍMAR;38500;922510217;_U;casinodeguimar@gmail.com
57;G1/S1/56-46/TF;_U;25 DE ABRIL (CENTRO DE CULTURA Y RECREO);AUTONÓMICO;Sección 1 - Asociaciones;SOCIO-CULTURALES;01/03/1946;C/ SANTA CATALINA N 12;Santa Cruz de Tenerife;TENERIFE;VILAFLOR;38613;922709012;_U;_U
58;G1/S1/57-66/TF;G38261012;ASOCIACIÓN AGRUPACIÓN MUSICAL VILLA DE LA OROTAVA;MUNICIPAL;Sección 1 - Asociaciones;SOCIO-CULTURALES;20/12/1965;PLAZA GENERAL FRANCO, 1;Santa Cruz de Tenerife;TENERIFE;LA OROTAVA;_U;_U;_U;_U
60;G1/S1/59-66/P;_U;URCEOLO OBRERO;LOCAL;Sección 1 - Asociaciones;VARIAS;_U;ALVAREZ DE ABREU, 31;Santa Cruz de Tenerife;LA PALMA;SANTA CRUZ DE LA PALMA;_U;_U;_U;_U
62;G1/S1/61-66/H;_U;LA IGUALDAD DE SAN ANDRES (HOGAR CLUB);INSULAR;Sección 1 - Asociaciones;SOCIO-CULTURALES;18/11/1933;CARRETERA GENERAL Nº 7;Santa Cruz de Tenerife;EL HIERRO;VALVERDE;38915;_U;_U;_U
63;G1/S1/62-66/H;_U;CASINO DEL GOLFO;LOCAL;Sección 1 - Asociaciones;SOCIO-CULTURALES;_U;FRONTERA;Santa Cruz de Tenerife;EL HIERRO;FRONTERA;_U;_U;_U;_U
67;G1/S1/66-66/TF;G38033783;"CENTRO CULTURAL ""UNION Y FRATERNIDAD""";AUTONÓMICO;Sección 1 - Asociaciones;SOCIO-CULTURALES;22/07/1959;C/ EL SOL N.2. LA GUANCHA;Santa Cruz de Tenerife;TENERIFE;LA GUANCHA;38440;922828106;_U;_U
70;G1/S1/69-66/P;G38388625;ASOCIACIÓN LA UNIÓN;MUNICIPAL;Sección 1 - Asociaciones;SOCIO-CULTURALES;_U;VILLA DE MAZO (C/ GENERAL MOLA Nº 5);Santa Cruz de Tenerife;LA PALMA;VILLA DE MAZO;38730;674110882;_U;launionvillademazo@gmail.es, bernaperezgar@hotmail.com
71;G1/S1/70-66/TF;_U;ANTIGUOS ALUMNOS DE LAS ESCUELAS PIAS;PROVINCIAL;Sección 1 - Asociaciones;DE EX-ALUMNOS;16/05/1952;SAN FRANCISCO, 2;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;_U;_U;_U;_U
