registro;nif;nombre;situacion;finalidad;direccion_nombre_via;direccion_municipio_nombre;direccion_provincia_nombre;direccion_isla_nombre;pagina_web;email
380;G04988820;FUNDACION CANARIA LUCAS BOSCH;Registrada con actividad;EDUCATIVAS;Calle TRIANA,;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://fundacionlucasbosch.org/;_U
313;G76655943;FUNDACIÓN CANARIA FONDO SOCIAL PORTUARIO DEL PUERTO DE SANTA CRUZ DE TENERIFE;Registrada con actividad;BENÉFICAS;Calle ANTIGUA ESTACIÓN MARÍTIMA DEL JETFOIL MUELLE NORTE-PUERTO DE STA.CRUZ DE TF.;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;fundacioncanariafondosocial@gmail.com
346;G76742378;FUNDACIÓN CANARIA EL BUEN SAMARITANO;Registrada con actividad;BENÉFICAS;Calle Calle Santa María de Añáza  n° 2  38111 – SANTA CRUZ DE TENERIFE;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;http://fcanariabuensamaritano.org/;info@fcanariabuensamaritano.org
376;G02990141;FUNDACION CANARIA OJUSA;Registrada con actividad;BENÉFICAS;Calle Viera y Clavijo, nº34-36    2º;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;http://fundacionojusa.com/;rafael.ruiz.pina@gmail.com
203;G38783312;FUNDACIÓN GALILEO GALILEI- INAF, FUNDACIÓN CANARIA;Registrada con actividad;INVESTIGACIÓN;Rambla José-Ana Fernández Pérez, nº 7;Breña Baja;Santa Cruz de Tenerife;La Palma;https://www.iac.es/es/institucion/fundacion-galileo-galilei-inaf;secretary@tng.iac.es
381;G05499702;FUNDACIÓN CANARIA ALCASIV;Registrada con actividad;CIENTÍFICAS;Calle Calle General Más de Gaminde, nº 38, bajo, c.p. 35006, Las Palmas de Gran Canaria.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
104;_U;"FUNDACIÓN  CANARIA  ""PUERTOS DE LAS PALMAS""                                      (BAJA Y TRASLADO EXPEDIENTE AL Mº DE CULTURA) RESOLUCION Nº 94 DE FECHA 20/01/2010.";Trasladada;_U;C/ Tomás Quevedo Ramírez, s/n - Edificio Sede de la Autoridad Portuaria;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
413;G55414148;FUNDACION CANARIA INSTITUTO DE CIENCIAS NEUROLOGICAS;Registrada con actividad;INVESTIGACIÓN;Calle  Calle Mister Blisse, s / n, (C. P. 35200 La Garita Telde).;Telde;Las Palmas;Gran Canaria;-;_U
252;G35875061;FUNDACION CANARIA RESPUESTA SOCIAL CANARIA;Registrada con actividad;EDUCATIVAS;Calle C/Lanzarote nº 8-5 35008 Las Palmas de G.C.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;http://www.frespuestasocial.org/;gonzalagor@gonzalagor.es
10;G35141365;FUNDACION CANARIA CENTRO DE ORIENTACION FAMILIAR DE CANARIAS;Registrada con actividad;SOCIALES;Calle C/ Don Pío Coronado, nº 118;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://www.fundacioncof.org/;info@fundacioncof.oro
